# Constructed from biom file
#OTU ID	Inicial	DN	DAG	DN_AN	DN_AE	DAG_AN	DAG_AE
k__Bacteria;p__;c__;o__	0.0006005474114192568	0.0010092150135973096	0.0007407981845342563	0.0010350119561725972	0.0007632234471858389	0.0008257931610119074	0.0008583108678083283
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40	0.00019649247101736052	0.0002878633428046017	0.00041631633511016056	0.0005282129983225668	0.0004477176914594094	0.00031966186877880286	0.00046897397931795255
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.00010516498448816479	9.143894418499114e-05	2.652996253152984e-05	5.710410792676398e-05	8.413486819371453e-05	3.255815330154474e-05	3.5394262590034156e-05
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	7.748998857022669e-05	9.82121993098053e-05	5.305992506305968e-05	5.710410792676398e-05	6.911078458769407e-05	1.1839328473288996e-05	3.8343784472537e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0005590349175423497	0.0007010319054182654	0.00046733549382464105	0.0007280773760662408	0.0006790885789921244	0.0003906978396185368	0.0003893368884903757
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.002925247068526057	0.002699142167238442	0.0014652702382798788	0.001563224954495164	0.0018780104507525562	0.0022435527456882644	0.0013390829346562922
k__Bacteria;p__Bacteroidetes;c__;o__	0.0	1.0159882687221239e-05	9.795678473180248e-05	7.138013490845498e-06	4.807706753926544e-05	6.511630660308948e-05	0.00010913230965260531
k__Bacteria;p__Bacteroidetes;c__BME43;o__	0.0001383749795896905	9.143894418499114e-05	0.00010816061647469858	6.424212141760947e-05	6.911078458769407e-05	3.847781753818924e-05	2.9495218825028462e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.33406210822583904	0.3831630424107373	0.39274344301772196	0.4149826903172845	0.39691225033729044	0.36727964789837114	0.4198585409305152
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.005296994218693353	0.008618967146326015	0.006969217080398032	0.010128841143509761	0.008146058131184289	0.007281187011072734	0.00801974999852524
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.00039575244162651485	0.0006874853951686371	0.0005142731198419631	0.0007923194974838502	0.0005138236593258994	0.000535729613416327	0.00047782254496546114
k__Bacteria;p__Chlorobi;c__OPB56;o__	5.2582492244082395e-05	0.00018287788836998228	3.673379427442593e-05	7.851814839930048e-05	0.00015925528622381678	0.0001154334526145677	0.00013567800659513093
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__	3.874499428511334e-05	0.00018965114349479644	0.00010816061647469858	7.851814839930048e-05	8.713968491491861e-05	0.0001272727810878567	0.00010913230965260531
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	9.686248571278336e-05	7.450580637295575e-05	8.367142029174796e-05	0.00012848424283521895	9.915895179973498e-05	9.175479566798971e-05	7.078852518006831e-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__WCHB1-50	7.472248897843288e-05	0.00010498545443461946	8.367142029174796e-05	0.00012848424283521895	0.00013822156917538814	8.583513143134521e-05	9.438470024009109e-05
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__SM1D11	4.427999346870096e-05	0.00012191859224665486	1.8366897137212965e-05	9.279417538099147e-05	0.00014122638589659223	2.663848906490024e-05	2.9495218825028465e-06
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	0.0022527446677201614	0.009492717057427043	0.0012897643323020662	0.007966023055783575	0.0086688962406738	0.0015657511905924697	0.0016782779511441196
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	0.004599584321561312	0.007968734654343858	0.028374815310645455	0.025132945501266993	0.021051745948755855	0.02144990336148134	0.0340935234398504
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0002435399640778553	0.0002946365979294159	0.0003571341110013632	0.00018558835076198295	0.000937502817015676	0.0006097254163743832	0.0002123655755402049
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.016117917622607152	0.05439262527982012	0.0613454364382913	0.013298119133445164	0.07068530854960499	0.13022077387770564	0.07222494233684724
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	0.00025737746203682437	0.0011446801160935928	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.3981352587750489	0.4074587085434458	0.442915683697542	0.4135265355651518	0.379045610113011	0.36611051421163365	0.3932774497254004
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.006558974032551331	0.0063702464448877165	0.0020346440495334806	0.004268532067525608	0.0027734458336713752	0.03225625042547587	0.0032651207239306505
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__	0.00014667747836507195	0.00027431683255497346	0.0002204027656465556	0.00018558835076198295	0.00015024083606020452	0.0003167020366604806	0.0002920026663677818
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__	3.320999510152572e-05	2.0319765374442477e-05	0.00025713655992098153	0.00021414040472536494	9.01445016361227e-06	0.0001272727810878567	1.4747609412514231e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.00016881747509942243	0.00013885173005869026	9.183448568606483e-05	0.0006067311467218673	8.713968491491861e-05	5.327697812980048e-05	5.604091576755408e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	0.0047434943003345905	0.0020760026957555395	0.0026305478233186125	0.00029979656661551087	0.00219652102320019	0.0008050743361836517	0.0007550776019207286
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.00030719245468911294	0.0003522092664903363	0.00025101426087524386	0.0003854527285056569	0.0002704335049083681	0.00026934472276732464	0.000230062706835222
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.0015553347705881213	0.0034001740726567076	6.122299045737655e-06	0.0003140725935972019	0.0006881030291557367	3.551798541986699e-05	1.4747609412514231e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0.007934421329672854	0.007623298642978334	0.027968702807278187	0.011577857882151396	0.008287284517080884	0.01950825349186194	0.023215686737179907
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	0.0006282224073371949	0.0008602034008513982	0.0016122054153775826	0.0010921160640993612	0.0009194739166884516	0.0010181822487028535	0.0012564963219462125
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales	6.088499101946383e-05	0.0002438371844933097	8.571218664032717e-05	6.424212141760947e-05	0.00011418303540575542	0.00014207194167946795	0.00012977896283012524
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Thermodesulfobacteriales	8.025748816202049e-05	8.127906149776991e-05	0.00013673134535480765	7.851814839930048e-05	6.0096334424081806e-05	0.00010063429202295646	9.143517835758824e-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	8.855998693740192e-05	0.00012530521980906194	5.714145776021812e-05	0.00014989828330775546	6.911078458769407e-05	4.735731389315598e-05	6.193995953255978e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0.000276749959179381	0.0004402615831129203	0.00016122054153775827	0.0005567650522859489	0.0004086550740837563	9.767445990463422e-05	0.00010913230965260531
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.000669734901214102	0.0009956685033476814	0.0009632417165293911	0.001249152360897962	0.0008924305661976148	0.0006926007156874063	0.000651844336033129
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	0.001212164821205689	0.0012632120807778407	0.0008489588010089549	0.0008708376458831507	0.0012409893058572892	0.0004498944819849818	0.0005663082014405465
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0001632824759158348	0.00024045055693090264	0.00010611985012611935	0.0002569684856704379	0.00015925528622381678	7.991546719470071e-05	0.00011798087530011385
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	0.0008440873754971121	0.0011311336058439645	0.000840795735614638	0.0014847068060958636	0.0009284883668520639	0.0005061312922331045	0.0006341472047381119
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	6.641999020305145e-05	4.741278587369911e-05	4.081532697158437e-06	0.00047110889039580285	3.3052983933244994e-05	2.959832118322249e-06	1.1798087530011386e-05
k__Bacteria;p__TM6;c__SJA-4;o__	0.00021032996897632958	0.00016933137812035398	0.0003632564100471009	7.851814839930048e-05	0.00016226010294502087	0.0002486258979390689	0.00043652923861042125
k__Bacteria;p__TM7;c__TM7-3;o__	4.7047493060494775e-05	3.725290318647787e-05	4.897839236590124e-05	4.282808094507299e-05	7.211560130889816e-05	0.0001035941241412787	9.733422212259393e-05
k__Bacteria;p__TM7;c__TM7-3;o__CW040	0.014211110403861216	0.013336539340759079	0.022623935740349214	0.01877297548092366	0.031559590022806554	0.042657100489260254	0.03382216742666014
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales	0.014775680320587152	0.011734664503740529	6.73452895031142e-05	0.01087833256004854	0.015598003599770434	0.00010655395625960096	5.899043765005693e-06
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	0.0009437173608016894	0.0007823109669160353	0.0002836665224525114	0.002162818087726186	0.001694716630759107	0.000867230810668419	0.0005014187200254839
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	0.00030995995428090674	0.00030818310817904424	1.0203831742896093e-05	0.0003354866340697384	0.00035456837310208263	2.959832118322249e-06	7.078852518006831e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.17715595136949716	0.0687383796341765	4.489685966874281e-05	0.052792747778293306	0.04048690050150392	0.0	2.359617506002277e-05
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__Arctic97B-4	0.0004400324350952158	0.00014223835762109733	0.0	0.00011420821585352797	9.01445016361227e-05	2.959832118322249e-06	0.0
k__Bacteria;p__[Caldithrix];c__KSB1;o__Ucn15732	9.686248571278336e-05	0.00018287788836998228	6.530452315453499e-05	0.00013562225632606447	6.911078458769407e-05	7.399580295805622e-05	4.424282823754269e-05
